"DATE","PROVINCE","REGION","NR_REPORTING","TOTAL_IN","TOTAL_IN_ICU","TOTAL_IN_RESP","TOTAL_IN_ECMO","NEW_IN","NEW_OUT"
2021-10-12,"Antwerpen","Flanders",14,114,26,13,5,12,10
2021-10-12,"Brussels","Brussels",15,201,55,32,7,15,22
2021-10-12,"Hainaut","Wallonia",14,86,19,12,4,4,8
2021-10-12,"Limburg","Flanders",7,29,5,3,0,4,3
2021-10-12,"Liège","Wallonia",12,138,38,16,3,9,16
2021-10-12,"Luxembourg","Wallonia",3,16,7,6,0,4,1
2021-10-12,"Namur","Wallonia",6,19,6,4,1,1,3
2021-10-12,"OostVlaanderen","Flanders",14,68,19,12,6,6,5
2021-10-12,"VlaamsBrabant","Flanders",6,34,10,5,1,5,2
2021-10-12,"BrabantWallon","Wallonia",2,9,4,1,0,1,0
2021-10-12,"WestVlaanderen","Flanders",11,52,12,8,2,9,4
2021-10-13,"Antwerpen","Flanders",14,118,25,13,5,11,7
2021-10-13,"Brussels","Brussels",15,198,53,32,7,14,29
2021-10-13,"Hainaut","Wallonia",14,88,20,10,4,7,8
2021-10-13,"Limburg","Flanders",7,26,5,1,0,3,3
2021-10-13,"Liège","Wallonia",12,142,37,15,2,14,9
2021-10-13,"Luxembourg","Wallonia",3,12,6,5,0,0,1
2021-10-13,"Namur","Wallonia",6,21,6,3,2,4,4
2021-10-13,"OostVlaanderen","Flanders",14,72,22,11,5,4,6
2021-10-13,"VlaamsBrabant","Flanders",6,34,9,4,1,2,2
2021-10-13,"BrabantWallon","Wallonia",2,12,4,1,0,3,0
2021-10-13,"WestVlaanderen","Flanders",11,59,14,9,2,8,4
2021-10-14,"Antwerpen","Flanders",14,120,25,14,5,12,12
2021-10-14,"Brussels","Brussels",15,194,49,31,8,9,26
2021-10-14,"Hainaut","Wallonia",14,90,21,10,4,9,7
2021-10-14,"Limburg","Flanders",7,24,4,1,0,2,5
2021-10-14,"Liège","Wallonia",12,145,37,13,2,16,17
2021-10-14,"Luxembourg","Wallonia",3,15,6,4,0,4,1
2021-10-14,"Namur","Wallonia",6,25,6,4,1,4,2
2021-10-14,"OostVlaanderen","Flanders",14,71,20,12,7,5,6
2021-10-14,"VlaamsBrabant","Flanders",6,35,8,4,1,5,4
2021-10-14,"BrabantWallon","Wallonia",2,12,4,1,0,1,1
2021-10-14,"WestVlaanderen","Flanders",11,62,13,9,2,11,9
2021-10-15,"Antwerpen","Flanders",14,120,25,11,4,7,9
2021-10-15,"Brussels","Brussels",15,206,50,33,7,13,12
2021-10-15,"Hainaut","Wallonia",14,91,17,10,4,4,4
2021-10-15,"Limburg","Flanders",7,27,5,1,0,3,1
2021-10-15,"Liège","Wallonia",12,151,38,15,2,15,10
2021-10-15,"Luxembourg","Wallonia",3,17,6,4,0,3,1
2021-10-15,"Namur","Wallonia",6,27,5,4,1,1,0
2021-10-15,"OostVlaanderen","Flanders",14,73,17,12,6,4,3
2021-10-15,"VlaamsBrabant","Flanders",6,30,8,4,1,3,8
2021-10-15,"BrabantWallon","Wallonia",2,9,3,2,0,0,2
2021-10-15,"WestVlaanderen","Flanders",11,73,16,9,2,8,2
2021-10-16,"Antwerpen","Flanders",14,117,28,13,4,12,22
2021-10-16,"Brussels","Brussels",15,202,53,36,7,18,32
2021-10-16,"Hainaut","Wallonia",14,90,14,10,4,7,11
2021-10-16,"Limburg","Flanders",7,26,6,2,0,5,5
2021-10-16,"Liège","Wallonia",12,153,40,17,2,27,20
2021-10-16,"Luxembourg","Wallonia",3,17,8,5,0,0,3
2021-10-16,"Namur","Wallonia",6,28,5,5,0,3,1
2021-10-16,"OostVlaanderen","Flanders",14,71,18,12,5,6,6
2021-10-16,"VlaamsBrabant","Flanders",6,38,11,6,1,7,0
2021-10-16,"BrabantWallon","Wallonia",2,10,3,2,0,3,3
2021-10-16,"WestVlaanderen","Flanders",11,80,16,9,2,9,5
2021-10-17,"Antwerpen","Flanders",14,123,30,13,4,10,7
2021-10-17,"Brussels","Brussels",15,196,52,36,7,7,11
2021-10-17,"Hainaut","Wallonia",14,99,14,9,4,13,3
2021-10-17,"Limburg","Flanders",7,28,6,2,0,3,0
2021-10-17,"Liège","Wallonia",12,156,43,18,2,6,1
2021-10-17,"Luxembourg","Wallonia",3,19,8,6,0,3,0
2021-10-17,"Namur","Wallonia",6,32,7,5,0,3,2
2021-10-17,"OostVlaanderen","Flanders",14,75,21,12,5,8,3
2021-10-17,"VlaamsBrabant","Flanders",6,39,11,5,1,1,2
2021-10-17,"BrabantWallon","Wallonia",2,11,3,2,0,2,1
2021-10-17,"WestVlaanderen","Flanders",11,78,14,9,2,3,4
2021-10-18,"Antwerpen","Flanders",14,138,34,16,4,13,2
2021-10-18,"Brussels","Brussels",15,204,59,36,9,18,11
2021-10-18,"Hainaut","Wallonia",14,113,20,11,5,9,2
2021-10-18,"Limburg","Flanders",7,35,7,2,0,8,1
2021-10-18,"Liège","Wallonia",12,162,44,18,2,4,5
2021-10-18,"Luxembourg","Wallonia",3,26,10,6,0,9,0
2021-10-18,"Namur","Wallonia",6,34,8,7,0,2,0
2021-10-18,"OostVlaanderen","Flanders",14,80,21,11,5,10,2
2021-10-18,"VlaamsBrabant","Flanders",6,37,13,6,1,3,4
2021-10-18,"BrabantWallon","Wallonia",2,9,2,0,0,0,1
2021-10-18,"WestVlaanderen","Flanders",11,81,14,9,2,6,2
2021-10-19,"Antwerpen","Flanders",14,141,35,15,4,17,12
2021-10-19,"Brussels","Brussels",15,208,59,36,9,12,21
2021-10-19,"Hainaut","Wallonia",14,118,16,8,3,16,10
2021-10-19,"Limburg","Flanders",7,30,8,1,0,6,5
2021-10-19,"Liège","Wallonia",12,175,46,20,2,22,15
2021-10-19,"Luxembourg","Wallonia",3,25,10,6,0,3,2
2021-10-19,"Namur","Wallonia",6,30,9,8,0,0,3
2021-10-19,"OostVlaanderen","Flanders",14,77,19,11,5,6,8
