,DATE,NEW_IN
0,2020-03-17,135.0
1,2020-03-18,185.4
2,2020-03-19,223.4
3,2020-03-20,252.0
4,2020-03-21,300.2
5,2020-03-22,366.2
6,2020-03-23,400.6
7,2020-03-24,462.4
8,2020-03-25,537.2
9,2020-03-26,562.2
10,2020-03-27,550.8
11,2020-03-28,562.0
12,2020-03-29,564.4
13,2020-03-30,550.4
14,2020-03-31,541.8
15,2020-04-01,545.0
16,2020-04-02,507.0
17,2020-04-03,452.0
18,2020-04-04,432.6
19,2020-04-05,425.0
20,2020-04-06,418.0
21,2020-04-07,432.2
22,2020-04-08,445.8
23,2020-04-09,406.2
24,2020-04-10,362.2
25,2020-04-11,319.4
26,2020-04-12,296.6
27,2020-04-13,280.8
28,2020-04-14,286.6
29,2020-04-15,290.8
30,2020-04-16,285.6
31,2020-04-17,259.0
32,2020-04-18,248.8
33,2020-04-19,230.8
34,2020-04-20,218.6
35,2020-04-21,217.4
36,2020-04-22,221.2
37,2020-04-23,194.8
38,2020-04-24,177.4
39,2020-04-25,169.6
40,2020-04-26,162.4
41,2020-04-27,152.4
42,2020-04-28,153.2
43,2020-04-29,143.8
44,2020-04-30,123.2
45,2020-05-01,104.6
46,2020-05-02,98.6
47,2020-05-03,92.0
48,2020-05-04,100.0
49,2020-05-05,103.4
50,2020-05-06,102.0
51,2020-05-07,89.8
52,2020-05-08,79.2
53,2020-05-09,69.6
54,2020-05-10,70.4
55,2020-05-11,66.6
56,2020-05-12,67.2
57,2020-05-13,70.0
58,2020-05-14,64.2
59,2020-05-15,58.0
60,2020-05-16,56.6
61,2020-05-17,59.0
62,2020-05-18,59.2
63,2020-05-19,57.6
64,2020-05-20,58.4
65,2020-05-21,52.8
66,2020-05-22,45.2
67,2020-05-23,40.4
68,2020-05-24,43.6
69,2020-05-25,38.0
70,2020-05-26,37.4
71,2020-05-27,38.0
72,2020-05-28,35.4
73,2020-05-29,30.6
74,2020-05-30,32.2
75,2020-05-31,31.0
76,2020-06-01,29.4
77,2020-06-02,30.2
78,2020-06-03,29.0
79,2020-06-04,26.6
80,2020-06-05,25.8
81,2020-06-06,23.8
82,2020-06-07,21.8
83,2020-06-08,23.8
84,2020-06-09,24.0
85,2020-06-10,22.6
86,2020-06-11,21.0
87,2020-06-12,19.4
88,2020-06-13,18.2
89,2020-06-14,17.0
90,2020-06-15,19.0
91,2020-06-16,20.0
92,2020-06-17,21.2
93,2020-06-18,18.2
94,2020-06-19,17.2
95,2020-06-20,15.4
96,2020-06-21,14.4
97,2020-06-22,15.0
98,2020-06-23,16.2
99,2020-06-24,16.6
100,2020-06-25,15.6
101,2020-06-26,15.2
102,2020-06-27,14.4
103,2020-06-28,12.6
104,2020-06-29,12.0
105,2020-06-30,11.8
106,2020-07-01,12.2
107,2020-07-02,10.2
108,2020-07-03,10.4
109,2020-07-04,11.2
110,2020-07-05,11.8
111,2020-07-06,10.8
112,2020-07-07,10.6
113,2020-07-08,10.8
114,2020-07-09,8.8
115,2020-07-10,8.8
116,2020-07-11,10.2
117,2020-07-12,11.2
118,2020-07-13,11.6
119,2020-07-14,12.4
120,2020-07-15,16.0
121,2020-07-16,16.0
122,2020-07-17,16.6
123,2020-07-18,15.6
124,2020-07-19,18.0
125,2020-07-20,19.2
126,2020-07-21,22.4
127,2020-07-22,24.8
128,2020-07-23,26.2
129,2020-07-24,27.2
130,2020-07-25,28.8
131,2020-07-26,29.0
132,2020-07-27,29.8
133,2020-07-28,30.6
134,2020-07-29,30.8
135,2020-07-30,28.4
136,2020-07-31,27.2
137,2020-08-01,25.2
138,2020-08-02,31.4
139,2020-08-03,32.2
140,2020-08-04,33.0
